tie,dog,black,men,home_theater,Sum
1.2230244278907776,1.6518032848834991,1.744740515947342,1.259491354227066,1.6149396002292633,7.493999183177948
1.161549523472786,1.4843360781669617,1.5639476776123047,1.2092161029577255,1.5484063625335693,6.967455744743347
1.763157218694687,1.8604647815227509,1.8857524394989014,1.5229757279157639,1.6313477009534836,8.663697868585587
1.0844991281628609,1.323752447962761,1.471465528011322,1.5470464378595352,1.1964609622955322,6.623224504292011
1.4861424416303635,1.676591843366623,2.1348920464515686,1.8086524307727814,1.6780064702033997,8.784285232424736
1.528371125459671,1.8876482248306274,1.8433746695518494,1.5163087844848633,2.0463896691799164,8.822092473506927
0.9924967586994171,1.0142761170864105,1.4584385454654694,0.8704775869846344,1.368339717388153,5.7040287256240845
1.269082471728325,1.7873659431934357,1.6384244859218597,1.6657531559467316,1.7617319971323013,8.122358053922653
1.3943169489502907,1.5568527393043041,1.7715908288955688,1.2086938619613647,1.8252117410302162,7.756666120141745
0.8150256425142288,0.9015564620494843,0.9301140010356903,0.8031860589981079,0.9427144229412079,4.392596587538719
1.2847781777381897,1.4955934584140778,1.4189350605010986,1.337506502866745,1.4460231065750122,6.982836306095123
1.344773918390274,1.3383570611476898,1.3988861292600632,1.3827587366104126,1.3145923614501953,6.779368206858635
1.3752186447381973,1.7145233303308487,1.6968264281749725,1.4669608026742935,1.912032276391983,8.165561482310295
1.7292671203613281,1.8079547882080078,1.7841096818447113,1.7425708174705505,1.882867157459259,8.946769565343857
1.2184761837124825,1.6532830595970154,1.7743988335132599,1.2295431196689606,1.8970779925584793,7.772779189050198
1.7321010529994965,1.829232007265091,1.955896109342575,1.6552449613809586,1.7370993793010712,8.909573510289192
1.2722916305065155,1.7075437903404236,1.8101375699043274,1.3366021513938904,1.738399177789688,7.864974319934845
1.2958754748106003,1.7090473175048828,1.5132260620594025,1.1557302474975586,1.4887399226427078,7.162619024515152
1.3620232343673706,1.5919674187898636,1.6737647652626038,1.2505410611629486,1.1766130328178406,7.054909512400627
1.2710625678300858,1.5970883667469025,1.4626539200544357,1.3263269513845444,1.1959589272737503,6.853090733289719
1.6561055481433868,1.8298602104187012,1.8198277354240417,1.8185639828443527,1.3760954588651657,8.500452935695648
1.25129234790802,1.5371658504009247,1.4737180471420288,1.0381009131669998,1.4096416234970093,6.709918782114983
1.6479653120040894,1.7170948386192322,1.778456836938858,1.2766515761613846,1.7380340993404388,8.158202663064003
1.430141568183899,1.7612819969654083,1.8080690205097198,1.3643881678581238,1.5398240089416504,7.903704762458801
1.448434978723526,1.8452831506729126,1.8414382338523865,1.7090196311473846,1.704546719789505,8.548722714185715
1.1278619468212128,1.4428729116916656,1.5104726254940033,1.1212480068206787,1.5313242375850677,6.733779728412628
1.5015147775411606,1.725678712129593,1.7350350618362427,1.4981468617916107,1.7571977227926254,8.217573136091232
1.4072714447975159,1.4715370535850525,1.472758799791336,1.2808967530727386,1.7474339306354523,7.379897981882095
1.60227470099926,1.6751982867717743,1.708834946155548,1.4322269558906555,1.7148101478815079,8.133345037698746
1.3075458481907845,2.248538911342621,1.8312455713748932,1.4439953714609146,1.6745694428682327,8.505895145237446
1.0513040125370026,1.1457666158676147,1.2704449594020844,0.9029406011104584,1.4544548690319061,5.824911057949066
1.4526447653770447,1.5982595384120941,1.742041915655136,1.2902895510196686,1.784206047654152,7.867441818118095
0.9942034780979156,1.2194325625896454,1.2667610347270966,0.9428082704544067,1.3732978999614716,5.796503245830536
1.2450368106365204,1.6069201529026031,1.4143929481506348,0.9889359772205353,1.4988589584827423,6.754144847393036
1.598277598619461,2.0195485055446625,1.4976578801870346,1.2037821412086487,1.3059465885162354,7.625212714076042
1.705365926027298,1.7183493673801422,1.751550942659378,1.6221491694450378,1.5914300084114075,8.388845413923264
1.352802723646164,1.6178657710552216,1.779271513223648,1.174649715423584,1.6549016833305359,7.579491406679153
