,scene,frame,xmin,ymin,xmax,ymax,confidence,class,name
441,20,2.0,,,,,0.1712404489517212,235.0,movie_theater/indoor
442,20,2.0,,,,,0.058166246861219406,342.0,underwater/ocean_deep
443,20,2.0,,,,,0.018515903502702713,16.0,arena/performance
444,21,0.0,,,,,0.27193933725357056,235.0,movie_theater/indoor
445,21,0.0,,,,,0.07115283608436584,85.0,catacomb
446,21,0.0,,,,,0.06725471466779709,177.0,home_theater
447,21,0.0,,,,,0.03364337980747223,16.0,arena/performance
448,21,0.0,,,,,0.03062344714999199,167.0,grotto
449,21,1.0,,,,,0.27193933725357056,235.0,movie_theater/indoor
450,21,1.0,,,,,0.07115283608436584,85.0,catacomb
451,21,1.0,,,,,0.06725471466779709,177.0,home_theater
452,21,1.0,,,,,0.03364337980747223,16.0,arena/performance
453,21,1.0,,,,,0.03062344714999199,167.0,grotto
454,21,2.0,,,,,0.08216246962547302,235.0,movie_theater/indoor
455,21,2.0,,,,,0.06576063483953476,85.0,catacomb
456,21,2.0,,,,,0.045272935181856155,190.0,iceberg
457,21,2.0,,,,,0.045110542327165604,167.0,grotto
458,21,2.0,,,,,0.040992531925439835,187.0,ice_shelf
459,22,0.0,,,,,0.47023332118988037,177.0,home_theater
460,22,0.0,,,,,0.15131007134914398,235.0,movie_theater/indoor
461,22,0.0,,,,,0.06296531856060028,16.0,arena/performance
462,22,0.0,,,,,0.04786408692598343,9.0,aquarium
463,22,0.0,,,,,0.04033602029085159,190.0,iceberg
464,22,1.0,,,,,0.47023332118988037,177.0,home_theater
465,22,1.0,,,,,0.15131007134914398,235.0,movie_theater/indoor
466,22,1.0,,,,,0.06296531856060028,16.0,arena/performance
467,22,1.0,,,,,0.04786408692598343,9.0,aquarium
468,22,1.0,,,,,0.04033602029085159,190.0,iceberg
469,22,2.0,,,,,0.1265537440776825,16.0,arena/performance
470,22,2.0,,,,,0.09762495756149292,316.0,stage/outdoor
471,22,2.0,,,,,0.042827874422073364,315.0,stage/indoor
472,22,2.0,,,,,0.04268369451165199,235.0,movie_theater/indoor
473,22,2.0,,,,,0.03183923661708832,27.0,auditorium
474,23,0.0,,,,,0.20632269978523254,177.0,home_theater
475,23,0.0,,,,,0.05175776779651642,219.0,locker_room
476,23,0.0,,,,,0.04729243367910385,298.0,server_room
477,23,0.0,,,,,0.043085020035505295,37.0,bank_vault
478,23,0.0,,,,,0.03741464018821716,235.0,movie_theater/indoor
479,23,1.0,,,,,0.20632269978523254,177.0,home_theater
480,23,1.0,,,,,0.05175776779651642,219.0,locker_room
481,23,1.0,,,,,0.04729243367910385,298.0,server_room
482,23,1.0,,,,,0.043085020035505295,37.0,bank_vault
483,23,1.0,,,,,0.03741464018821716,235.0,movie_theater/indoor
484,23,2.0,23.58892059326172,27.111122131347656,125.50013732910156,120.33094024658203,0.8105370998382568,0.0,person
485,23,2.0,75.8843994140625,74.90174865722656,90.59738159179688,96.87079620361328,0.3423917293548584,27.0,tie
486,23,2.0,69.21713256835938,105.22128295898438,88.0509033203125,120.20866394042969,0.2925706207752228,27.0,tie
487,23,2.0,,,,,0.05336597561836243,61.0,booth/indoor
488,23,2.0,,,,,0.04715413600206375,50.0,beauty_salon
489,23,2.0,,,,,0.03227051720023155,177.0,home_theater
490,23,2.0,,,,,0.03172291815280914,168.0,gymnasium/indoor
491,23,2.0,,,,,0.029884912073612213,198.0,jewelry_shop
492,24,0.0,55.89303207397461,70.88164520263672,74.21602630615234,88.07025146484375,0.6244632005691528,7.0,truck
493,24,0.0,69.24545288085938,25.65845489501953,174.84645080566406,119.6707992553711,0.3898168206214905,0.0,person
494,24,0.0,,,,,0.19744457304477692,177.0,home_theater
495,24,0.0,,,,,0.07669170200824738,235.0,movie_theater/indoor
496,24,0.0,,,,,0.05826445668935776,329.0,television_studio
497,24,0.0,,,,,0.038464464247226715,61.0,booth/indoor
498,24,0.0,,,,,0.02852654829621315,285.0,restaurant_kitchen
499,24,1.0,55.89303207397461,70.88164520263672,74.21602630615234,88.07025146484375,0.6244632005691528,7.0,truck
