chair,alien,police,agent,black,Sum
1.3219726979732513,1.5045425593852997,1.5371180176734924,1.5517317652702332,1.744740515947342,7.6601055562496185
1.1765446364879608,1.3672231435775757,1.4009225964546204,1.3107106387615204,1.5639476776123047,6.819348692893982
1.648976594209671,1.4725099056959152,1.952708125114441,1.7753239274024963,1.8857524394989014,8.735270991921425
1.2730814069509506,1.270757332444191,1.3433057814836502,1.1549686044454575,1.471465528011322,6.513578653335571
1.1910405308008194,1.6734879910945892,1.5358057916164398,1.5683192610740662,2.1348920464515686,8.103545621037483
1.4526454359292984,1.4747170209884644,1.923812597990036,1.56027352809906,1.8433746695518494,8.254823252558708
0.9134715497493744,1.1478298604488373,1.0433325469493866,1.1156614422798157,1.4584385454654694,5.678733944892883
1.2918545752763748,1.3256285637617111,1.5724322944879532,1.3562125116586685,1.6384244859218597,7.184552431106567
1.3055612593889236,1.5573478043079376,1.3971920534968376,1.6282714530825615,1.7715908288955688,7.659963399171829
0.8257405161857605,0.9267630875110626,0.8125135451555252,0.9222298115491867,0.9301140010356903,4.417360961437225
1.179345577955246,1.1388320326805115,1.3565998673439026,1.3278349339962006,1.4189350605010986,6.421547472476959
1.2467606365680695,1.2154104560613632,1.5883641242980957,1.4046925604343414,1.3988861292600632,6.854113906621933
1.246688112616539,1.6100922226905823,1.3925754129886627,1.2330514937639236,1.6968264281749725,7.17923367023468
1.468543827533722,1.2726546823978424,1.4695085138082504,1.3227292448282242,1.7841096818447113,7.31754595041275
1.260486587882042,1.537241131067276,1.5648171305656433,1.4047416895627975,1.7743988335132599,7.541685372591019
1.480292022228241,1.715018093585968,1.877303957939148,1.721845418214798,1.955896109342575,8.75035560131073
1.2319431900978088,1.3155045807361603,1.3748823702335358,1.3972724229097366,1.8101375699043274,7.129740133881569
1.202109232544899,1.3042688816785812,1.3186600729823112,1.3765917718410492,1.5132260620594025,6.714856021106243
0.98699551820755,1.497719094157219,1.0341494157910347,1.1548303812742233,1.6737647652626038,6.347459174692631
1.2031558901071548,1.3266555964946747,1.1966286152601242,1.3093936741352081,1.4626539200544357,6.498487696051598
1.6061142683029175,1.5432932376861572,1.5547822415828705,1.5623041540384293,1.8198277354240417,8.086321637034416
1.1759048700332642,1.1977935433387756,1.339344248175621,1.2829322814941406,1.4737180471420288,6.46969299018383
1.4997603297233582,1.637646645307541,1.7269847840070724,1.675783097743988,1.778456836938858,8.318631693720818
1.526707798242569,1.453418791294098,1.7769513130187988,1.6087372303009033,1.8080690205097198,8.173884153366089
1.2001234143972397,1.5444256365299225,1.39699387550354,1.1109218448400497,1.8414382338523865,7.093903005123138
1.276580587029457,1.3898952901363373,1.4344307035207748,1.3313925862312317,1.5104726254940033,6.942771792411804
1.2205737084150314,1.5560629665851593,1.5968710780143738,1.4985369145870209,1.7350350618362427,7.607079729437828
1.2024568617343903,1.2119547724723816,1.581438958644867,1.5967313349246979,1.472758799791336,7.065340727567673
1.5834264904260635,1.1402837187051773,1.3700212389230728,1.185511440038681,1.708834946155548,6.988077834248543
1.4033740311861038,1.5118575692176819,1.696627914905548,1.5056250989437103,1.8312455713748932,7.948730185627937
0.9958441853523254,0.9938265681266785,1.1665995121002197,1.3353172540664673,1.2704449594020844,5.762032479047775
1.2395607233047485,1.5266880691051483,1.5530016720294952,1.6013117730617523,1.742041915655136,7.6626041531562805
0.9955201745033264,1.068800076842308,1.1972757279872894,1.3322491347789764,1.2667610347270966,5.860606148838997
1.3182775378227234,1.2684542536735535,1.1065780818462372,1.1462574899196625,1.4143929481506348,6.253960311412811
1.5195378065109253,1.3720336258411407,1.1770782470703125,1.222686767578125,1.4976578801870346,6.788994327187538
1.5689427852630615,1.576248213648796,1.457157015800476,1.653640255331993,1.751550942659378,8.007539212703705
1.2657653391361237,1.6036458909511566,1.1863778978586197,1.3604466021060944,1.779271513223648,7.195507243275642
1.3841816633939743,1.45552197098732,1.462306410074234,1.4565586149692535,1.8440766632556915,7.602645322680473
1.486440271139145,1.4976035952568054,1.6649054288864136,1.5131299793720245,2.0054700076580048,8.167549282312393
1.0067335814237595,1.1363422572612762,1.0966758131980896,0.9518186897039413,1.4538298845291138,5.64540022611618
1.1814554035663605,1.4871254712343216,1.3637342592701316,1.43661829829216,1.7280936241149902,7.197027056477964
1.3578690588474274,1.6607186496257782,1.9629422426223755,1.9840952157974243,1.5920569002628326,8.557682067155838
1.179428368806839,1.7591227293014526,1.549872800707817,1.50002920627594,1.8501548022031784,7.838607907295227
0.8778733611106873,1.1796177625656128,1.150006040930748,1.2601006925106049,1.2272126078605652,5.694810464978218
1.3384244441986084,1.5652901232242584,1.4816815853118896,1.623550921678543,1.7205315232276917,7.729478597640991
1.2141204476356506,1.416278213262558,1.3810993432998657,1.5597761571407318,1.6940072774887085,7.265281438827515
1.0138095617294312,1.206449806690216,1.231100171804428,1.3786055445671082,1.3384688198566437,6.168433904647827
1.1527996510267258,1.4892184734344482,1.3892375528812408,1.5393463373184204,1.6458069682121277,7.216408982872963
1.3126747608184814,1.3195471465587616,1.6200206279754639,1.7782950401306152,1.6160088777542114,7.646546453237534
1.3394819647073746,1.655563861131668,1.5481626093387604,1.4311937987804413,1.8024138808250427,7.776816114783287
1.042364776134491,1.3601574897766113,1.2874559164047241,1.2108110636472702,1.4475184828042984,6.348307728767395
1.2849931567907333,1.5187883377075195,1.487606167793274,1.5386196076869965,1.7233946025371552,7.553401872515678
1.333214282989502,1.4164757579565048,1.5873782634735107,1.7630166411399841,1.6202296316623688,7.72031457722187
1.3049274384975433,1.445403516292572,1.4217097759246826,1.3994028866291046,1.553027182817459,7.124470800161362
1.4720635116100311,1.1505763679742813,1.4569891691207886,2.0114891827106476,1.2838556170463562,7.374973848462105
0.990857494994998,1.3295681327581406,0.9577056989073753,1.2583543211221695,1.6083516329526901,6.1448372807353735
1.0943615138530731,1.4941425025463104,1.4166316390037537,1.479394719004631,1.7486508190631866,7.233181193470955
1.2079964391887188,1.187153648585081,1.3848812654614449,1.5256960988044739,1.592204973101616,6.8979324251413345
1.4899603426456451,1.504411056637764,1.4947883486747742,1.451724261045456,1.7739949822425842,7.7148789912462234
1.3719863146543503,1.0863544344902039,1.456644982099533,1.3752408772706985,1.3982013463974,6.688427954912186
1.7011765539646149,1.5246607065200806,1.6395002603530884,1.4568261951208115,1.999995470046997,8.322159186005592
1.0316205471754074,1.5151667296886444,1.5067357420921326,1.2690037041902542,1.9217012524604797,7.244227975606918
1.328471377491951,1.348603516817093,1.4233773052692413,1.186008259654045,1.7753744423389435,7.061834901571274
1.5686168372631073,1.497880607843399,1.6844101548194885,1.6156811714172363,1.6593123972415924,8.025901168584824
0.9750533998012543,1.307100772857666,1.3079074323177338,1.1412023603916168,1.2815134823322296,6.0127774477005005
