,scene,frame,xmin,ymin,xmax,ymax,confidence,class,name
0,0,0.0,,,,,0.15724463760852814,235.0,movie_theater/indoor
1,0,0.0,,,,,0.11984613537788391,177.0,home_theater
2,0,0.0,,,,,0.09338496625423431,101.0,conference_center
3,0,0.0,,,,,0.03177405893802643,61.0,booth/indoor
4,0,0.0,,,,,0.03091081790626049,27.0,auditorium
5,0,0.0,,,,,0.6875826819273532,74.0,natural light
6,0,1.0,,,,,0.15724463760852814,235.0,movie_theater/indoor
7,0,1.0,,,,,0.11984613537788391,177.0,home_theater
8,0,1.0,,,,,0.09338496625423431,101.0,conference_center
9,0,1.0,,,,,0.03177405893802643,61.0,booth/indoor
10,0,1.0,,,,,0.03091081790626049,27.0,auditorium
11,0,1.0,,,,,0.6875826819273532,74.0,natural light
12,0,2.0,,,,,0.1540311574935913,235.0,movie_theater/indoor
13,0,2.0,,,,,0.12838990986347198,177.0,home_theater
14,0,2.0,,,,,0.09414316713809967,101.0,conference_center
15,0,2.0,,,,,0.030812254175543785,61.0,booth/indoor
16,0,2.0,,,,,0.029962310567498207,27.0,auditorium
17,0,2.0,,,,,0.6875826819273532,74.0,natural light
18,0,3.0,,,,,0.1542847603559494,235.0,movie_theater/indoor
19,0,3.0,,,,,0.1287030130624771,177.0,home_theater
20,0,3.0,,,,,0.09406832605600357,101.0,conference_center
21,0,3.0,,,,,0.030740754678845406,61.0,booth/indoor
22,0,3.0,,,,,0.029971539974212646,27.0,auditorium
23,0,3.0,,,,,0.6875826819273532,74.0,natural light
24,0,4.0,,,,,0.15403303503990173,235.0,movie_theater/indoor
25,0,4.0,,,,,0.12851116061210632,177.0,home_theater
26,0,4.0,,,,,0.09407592564821243,101.0,conference_center
27,0,4.0,,,,,0.03079565055668354,61.0,booth/indoor
28,0,4.0,,,,,0.029935969039797783,27.0,auditorium
29,0,4.0,,,,,0.6875826819273532,74.0,natural light
30,1,0.0,,,,,0.04471011087298393,85.0,catacomb
31,1,0.0,,,,,0.027584033086895943,235.0,movie_theater/indoor
32,1,0.0,,,,,0.025862719863653183,315.0,stage/indoor
33,1,0.0,,,,,0.019844433292746544,250.0,orchestra_pit
34,1,0.0,,,,,0.015580127015709877,306.0,sky
35,1,0.0,,,,,0.6875826819273532,74.0,natural light
36,1,1.0,,,,,0.04471011087298393,85.0,catacomb
37,1,1.0,,,,,0.027584033086895943,235.0,movie_theater/indoor
38,1,1.0,,,,,0.025862719863653183,315.0,stage/indoor
39,1,1.0,,,,,0.019844433292746544,250.0,orchestra_pit
40,1,1.0,,,,,0.015580127015709877,306.0,sky
41,1,1.0,,,,,0.6875826819273532,74.0,natural light
42,1,2.0,,,,,0.04471011087298393,85.0,catacomb
43,1,2.0,,,,,0.027584033086895943,235.0,movie_theater/indoor
44,1,2.0,,,,,0.025862719863653183,315.0,stage/indoor
45,1,2.0,,,,,0.019844433292746544,250.0,orchestra_pit
46,1,2.0,,,,,0.015580127015709877,306.0,sky
47,1,2.0,,,,,0.6875826819273532,74.0,natural light
48,2,0.0,,,,,0.16351959109306335,225.0,martial_arts_gym
49,2,0.0,,,,,0.16102300584316254,177.0,home_theater
50,2,0.0,,,,,0.1207401230931282,235.0,movie_theater/indoor
51,2,0.0,,,,,0.10517210513353348,65.0,boxing_ring
52,2,0.0,,,,,0.031244710087776184,329.0,television_studio
53,2,0.0,,,,,0.6875826819273532,74.0,natural light
54,2,1.0,,,,,0.16351959109306335,225.0,martial_arts_gym
55,2,1.0,,,,,0.16102300584316254,177.0,home_theater
56,2,1.0,,,,,0.1207401230931282,235.0,movie_theater/indoor
57,2,1.0,,,,,0.10517210513353348,65.0,boxing_ring
58,2,1.0,,,,,0.031244710087776184,329.0,television_studio
59,2,1.0,,,,,0.6875826819273532,74.0,natural light
60,2,2.0,,,,,0.30453622341156006,85.0,catacomb
61,2,2.0,,,,,0.05313209816813469,177.0,home_theater
62,2,2.0,,,,,0.03937961533665657,235.0,movie_theater/indoor
63,2,2.0,,,,,0.027356842532753944,131.0,elevator_shaft
64,2,2.0,,,,,0.01822473295032978,69.0,burial_chamber
65,2,2.0,,,,,0.6875826819273532,74.0,natural light
66,3,0.0,,,,,0.09356337040662766,61.0,booth/indoor
67,3,0.0,,,,,0.039649538695812225,192.0,industrial_area
68,3,0.0,,,,,0.033773843199014664,177.0,home_theater
69,3,0.0,,,,,0.02832968346774578,49.0,beach_house
70,3,0.0,,,,,0.020109916105866432,158.0,gas_station
71,3,0.0,,,,,0.6875826819273532,74.0,natural light
72,3,1.0,,,,,0.09356337040662766,61.0,booth/indoor
73,3,1.0,,,,,0.039649538695812225,192.0,industrial_area
74,3,1.0,,,,,0.033773843199014664,177.0,home_theater
75,3,1.0,,,,,0.02832968346774578,49.0,beach_house
76,3,1.0,,,,,0.020109916105866432,158.0,gas_station
77,3,1.0,,,,,0.6875826819273532,74.0,natural light
78,3,2.0,,,,,0.1344417929649353,16.0,arena/performance
79,3,2.0,,,,,0.09299305081367493,235.0,movie_theater/indoor
80,3,2.0,,,,,0.07641094923019409,316.0,stage/outdoor
81,3,2.0,,,,,0.06611347198486328,177.0,home_theater
82,3,2.0,,,,,0.05434291809797287,27.0,auditorium
83,3,2.0,,,,,0.6875826819273532,74.0,natural light
84,4,0.0,,,,,0.3787318766117096,177.0,home_theater
85,4,0.0,,,,,0.16964852809906006,235.0,movie_theater/indoor
86,4,0.0,,,,,0.026675069704651833,27.0,auditorium
87,4,0.0,,,,,0.024965975433588028,16.0,arena/performance
88,4,0.0,,,,,0.02448904514312744,9.0,aquarium
89,4,0.0,,,,,0.6875826819273532,74.0,natural light
90,4,1.0,,,,,0.3787318766117096,177.0,home_theater
91,4,1.0,,,,,0.16964852809906006,235.0,movie_theater/indoor
92,4,1.0,,,,,0.026675069704651833,27.0,auditorium
93,4,1.0,,,,,0.024965975433588028,16.0,arena/performance
94,4,1.0,,,,,0.02448904514312744,9.0,aquarium
95,4,1.0,,,,,0.6875826819273532,74.0,natural light
96,4,2.0,144.0522003173828,40.210105895996094,169.11865234375,65.38081359863281,0.36855968832969666,0.0,person
97,4,2.0,,,,,0.054626159369945526,16.0,arena/performance
98,4,2.0,,,,,0.04960949346423149,235.0,movie_theater/indoor
99,4,2.0,,,,,0.048123035579919815,93.0,clean_room
100,4,2.0,,,,,0.04226556047797203,316.0,stage/outdoor
101,4,2.0,,,,,0.039202332496643066,285.0,restaurant_kitchen
102,4,2.0,,,,,0.6875826819273532,74.0,natural light
103,4,3.0,72.02406311035156,25.735734939575195,145.27593994140625,113.03711700439453,0.8151839375495911,0.0,person
104,4,3.0,0.1414790153503418,29.76984214782715,24.570009231567383,110.29251861572266,0.4611964225769043,0.0,person
105,4,3.0,34.36338424682617,111.62377166748047,42.07850646972656,119.70845794677734,0.29586684703826904,41.0,cup
106,4,3.0,,,,,0.4543658494949341,177.0,home_theater
107,4,3.0,,,,,0.19377383589744568,235.0,movie_theater/indoor
108,4,3.0,,,,,0.044012803584337234,9.0,aquarium
109,4,3.0,,,,,0.027641447260975838,16.0,arena/performance
110,4,3.0,,,,,0.021660875529050827,261.0,pet_shop
111,4,3.0,,,,,0.6875826819273532,74.0,natural light
112,5,0.0,94.15809631347656,30.640945434570312,133.30128479003906,117.55977630615234,0.7161359786987305,0.0,person
113,5,0.0,46.30015563964844,55.391265869140625,69.1604232788086,112.94996643066406,0.5524661540985107,0.0,person
114,5,0.0,113.54692077636719,24.563859939575195,135.64707946777344,55.760704040527344,0.43637964129447937,0.0,person
115,5,0.0,71.30075073242188,40.099971771240234,95.55977630615234,112.68961334228516,0.4088872969150543,0.0,person
116,5,0.0,,,,,0.11959926038980484,235.0,movie_theater/indoor
117,5,0.0,,,,,0.10223361849784851,177.0,home_theater
118,5,0.0,,,,,0.07480042427778244,16.0,arena/performance
119,5,0.0,,,,,0.04748599976301193,27.0,auditorium
120,5,0.0,,,,,0.03661176934838295,329.0,television_studio
121,5,0.0,,,,,0.6875826819273532,74.0,natural light
122,5,1.0,94.15809631347656,30.640945434570312,133.30128479003906,117.55977630615234,0.7161359786987305,0.0,person
123,5,1.0,46.30015563964844,55.391265869140625,69.1604232788086,112.94996643066406,0.5524661540985107,0.0,person
124,5,1.0,113.54692077636719,24.563859939575195,135.64707946777344,55.760704040527344,0.43637964129447937,0.0,person
125,5,1.0,71.30075073242188,40.099971771240234,95.55977630615234,112.68961334228516,0.4088872969150543,0.0,person
126,5,1.0,,,,,0.11959926038980484,235.0,movie_theater/indoor
127,5,1.0,,,,,0.10223361849784851,177.0,home_theater
128,5,1.0,,,,,0.07480042427778244,16.0,arena/performance
129,5,1.0,,,,,0.04748599976301193,27.0,auditorium
130,5,1.0,,,,,0.03661176934838295,329.0,television_studio
131,5,1.0,,,,,0.6875826819273532,74.0,natural light
132,5,2.0,,,,,0.40674638748168945,177.0,home_theater
133,5,2.0,,,,,0.2833101451396942,235.0,movie_theater/indoor
134,5,2.0,,,,,0.05913027748465538,16.0,arena/performance
135,5,2.0,,,,,0.054534438997507095,27.0,auditorium
